,Type of DES,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Temperature, K","Density, g/cm^3",I,III,IV,V,SMILES#1,SMILES#2,MolLogP#1,NumHeteroatoms#1,NumAromaticRings#1,NumHAcceptors#1,NumHDonors#1,NumRotatableBonds#1,TPSA#1,MolWt#1,MolLogP#2,NumHeteroatoms#2,NumAromaticRings#2,NumHAcceptors#2,NumHDonors#2,NumRotatableBonds#2,TPSA#2,MolWt#2
0,Ⅰ,Aluminium Chloride Anhydrous,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",0.667,0.333,298.0,1.0007,1,0,0,0,[Al+3].[Cl-].[Cl-].[Cl-],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],-9.3688,4,0,0,0,0,0.0,133.341,2.4077,2,1,0,0,11,0.0,311.9409999999999
1,Ⅰ,Cuprymina,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",0.667,0.333,298.0,1.0039,1,0,0,0,[Cl-].[Cl-].[Cu+2],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],-5.9945,3,0,0,0,0,0.0,134.452,2.4077,2,1,0,0,11,0.0,311.9409999999999
2,Ⅰ,Iron(3+) Trichloride,Cetyltrimethylammonium bromide,0.5,0.5,298.0,1.19,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.177900000000001,2,0,0,0,15,0.0,364.45599999999996
3,Ⅰ,Iron(3+) Trichloride,Dodecyltrimethylammonium bromide,0.5,0.5,298.0,1.27,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCC[N+](C)(C)C.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,1.6175000000000002,2,0,0,0,11,0.0,308.34799999999996
4,Ⅰ,Iron(3+) Trichloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",0.667,0.333,298.0,1.0001,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],-8.990499999999999,4,0,0,0,0,0.0,162.204,2.4077,2,1,0,0,11,0.0,311.9409999999999
5,Ⅰ,Iron(3+) Trichloride,Stearyltrimethylammonium bromide,0.5,0.5,298.0,1.15,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.9581000000000026,2,0,0,0,17,0.0,392.50999999999993
6,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,293.0,1.195,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
7,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,303.0,1.188,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
8,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,313.0,1.181,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
9,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,323.0,1.174,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
10,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,333.0,1.167,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
11,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,343.0,1.16,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
12,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.333,0.667,353.0,1.154,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
13,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,293.0,1.226,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
14,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,303.0,1.22,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
